name,year,,nationality,wikipedia,painting
Amedeo Modigliani,1884 - 1920,,Italian,http://en.wikipedia.org/wiki/Amedeo_Modigliani,193
Vasiliy Kandinskiy,1866 - 1944,,Russian,http://en.wikipedia.org/wiki/Wassily_Kandinsky,88
Diego Rivera,1886 - 1957,,Mexican,http://en.wikipedia.org/wiki/Diego_Rivera,70
Claude Monet,1840 - 1926,,French,http://en.wikipedia.org/wiki/Claude_Monet,73
Rene Magritte,1898 - 1967,,Belgian,http://en.wikipedia.org/wiki/René_Magritte,194
Salvador Dali,1904 - 1989,,Spanish,http://en.wikipedia.org/wiki/Salvador_Dalí,139
Edouard Manet,1832 - 1883,,French,http://en.wikipedia.org/wiki/Édouard_Manet,90
Andrei Rublev,1360 - 1430,,Russian,http://en.wikipedia.org/wiki/Andrei_Rublev,99
Vincent van Gogh,1853 - 1890,,Dutch,http://en.wikipedia.org/wiki/Vincent_van_Gogh,877
Gustav Klimt,1862 - 1918,,Austrian,http://en.wikipedia.org/wiki/Gustav_Klimt,117
Hieronymus Bosch,1450 - 1516,,Dutch,http://en.wikipedia.org/wiki/Hieronymus_Bosch,137
Kazimir Malevich,1879 - 1935,,Russian,http://en.wikipedia.org/wiki/Kazimir_Malevich,126
Mikhail Vrubel,1856 - 1910,,Russian,http://en.wikipedia.org/wiki/Mikhail_Vrubel,171
Pablo Picasso,1881 - 1973,,Spanish,http://en.wikipedia.org/wiki/Pablo_Picasso,439
Peter Paul Rubens,1577 - 1640,,Flemish,http://en.wikipedia.org/wiki/Peter_Paul_Rubens,141
Pierre-Auguste Renoir,1841 - 1919,,French,http://en.wikipedia.org/wiki/Pierre-Auguste_Renoir,336
Francisco Goya,1746 - 1828,,Spanish,http://en.wikipedia.org/wiki/Francisco_Goya,291
Frida Kahlo,1907 - 1954,,Mexican,http://en.wikipedia.org/wiki/Frida_Kahlo,120
El Greco,1541 - 1614,,"Spanish,Greek",http://en.wikipedia.org/wiki/El_Greco,87
Albrecht Darer,1471 - 1528,,German,http://en.wikipedia.org/wiki/Albrecht_Dürer,328
Alfred Sisley,1839 - 1899,,"French,British",http://en.wikipedia.org/wiki/Alfred_Sisley,259
Pieter Bruegel,1525 - 1569,,Flemish,http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder,134
Marc Chagall,1887 - 1985,,"French,Jewish,Belarusian",http://en.wikipedia.org/wiki/Marc_Chagall,239
Giotto di Bondone,1266 - 1337,,Italian,http://en.wikipedia.org/wiki/Giotto_di_Bondone,119
Sandro Botticelli,1445 - 1510,,Italian,http://en.wikipedia.org/wiki/Sandro_Botticelli,164
Caravaggio,1571 - 1610,,Italian,http://en.wikipedia.org/wiki/Caravaggio,55
Leonardo da Vinci,1452 - 1519,,Italian,http://en.wikipedia.org/wiki/Leonardo_da_Vinci,143
Diego Velazquez,1599 - 1660,,Spanish,http://en.wikipedia.org/wiki/Diego_Velázquez,128
Henri Matisse,1869 - 1954,,French,http://en.wikipedia.org/wiki/Henri_Matisse,186
Jan van Eyck,1395 - 1441,,Flemish,http://en.wikipedia.org/wiki/Jan_van_Eyck,81
Edgar Degas,1834 - 1917,,French,http://en.wikipedia.org/wiki/Edgar_Degas,702
Rembrandt,1606 - 1669,,Dutch,http://en.wikipedia.org/wiki/Rembrandt,262
Titian,1488 - 1576,,Italian,http://en.wikipedia.org/wiki/Titian,255
Henri de Toulouse-Lautrec,1864 - 1901,,French,https://en.wikipedia.org/wiki/Henri_de_Toulouse-Lautrec,81
Gustave Courbet,1819 - 1877,,French,https://en.wikipedia.org/wiki/Gustave_Courbet,59
Camille Pissarro,1830 - 1903,,French,https://en.wikipedia.org/wiki/Camille_Pissarro,91
William Turner,1775 - 1851,,British,https://en.wikipedia.org/wiki/J._M._W._Turner,66
Edvard Munch,1863 - 1944,,Norwegian,https://en.wikipedia.org/wiki/Edvard_Munch,67
Paul Cezanne,1839 - 1906,,French,https://en.wikipedia.org/wiki/Paul_Cézanne,47
Eugene Delacroix,1798 - 1863,,French,https://en.wikipedia.org/wiki/Eugène_Delacroix,31
Henri Rousseau,1844 - 1910,,French,https://en.wikipedia.org/wiki/Henri_Rousseau,70
Georges Seurat,1859 - 1891,,French,https://en.wikipedia.org/wiki/Georges_Seurat,43
Paul Klee,1879 - 1940,,"German,Swiss",https://en.wikipedia.org/wiki/Paul_Klee,188
Piet Mondrian,1872 - 1944,,Dutch,https://en.wikipedia.org/wiki/Piet_Mondrian,84
Joan Miro,1893 - 1983,,Spanish,https://en.wikipedia.org/wiki/Joan_Miró,102
Andy Warhol,1928 - 1987,,American,https://en.wikipedia.org/wiki/Andy_Warhol,181
Paul Gauguin,1848 - 1903,,French,http://en.wikipedia.org/wiki/Paul_Gauguin,311
Raphael,1483 - 1520,,Italian,https://en.wikipedia.org/wiki/Raphael,109
Michelangelo,1475 - 1564,,Italian,https://en.wikipedia.org/wiki/Michelangelo,49
Jackson Pollock,1912 - 1956,,American,http://en.wikipedia.org/wiki/Jackson_Pollock,24
